id, label
0, 42
1, 42
2, 42
3, 5
4, 5
5, 32
6, 42
7, 23
8, 18
9, 42
10, 42
11, 23
12, 42
13, 23
14, 42
15, 42
16, 42
17, 42
18, 23
19, 42
20, 8
21, 42
22, 42
23, 1
24, 23
25, 5
26, 23
27, 5
28, 42
29, 42
30, 23
31, 42
32, 23
33, 23
34, 5
35, 42
36, 42
37, 23
38, 42
39, 42
40, 1
41, 43
42, 42
43, 23
44, 42
45, 42
46, 42
47, 23
48, 23
49, 23
50, 32
51, 5
52, 6
53, 42
54, 26
55, 42
56, 42
57, 42
58, 5
59, 23
60, 42
61, 42
62, 42
63, 5
64, 23
65, 42
66, 5
67, 42
68, 8
69, 23
70, 23
71, 42
72, 42
73, 42
74, 24
75, 5
76, 42
77, 5
78, 42
79, 23
80, 42
81, 23
82, 26
83, 42
84, 5
85, 42
86, 42
87, 42
88, 5
89, 42
90, 42
91, 5
92, 42
93, 42
94, 42
95, 42
96, 42
97, 5
98, 42
99, 23
100, 1
101, 42
102, 23
103, 5
104, 8
105, 23
106, 42
107, 42
108, 23
109, 36
110, 22
111, 5
112, 5
113, 5
114, 23
115, 42
116, 8
117, 42
118, 5
119, 42
120, 42
121, 23
122, 23
123, 42
124, 42
125, 23
126, 42
127, 42
128, 5
129, 5
130, 42
131, 42
132, 23
133, 42
134, 23
135, 11
136, 5
137, 24
138, 26
139, 5
140, 42
141, 23
142, 42
143, 5
144, 23
145, 42
146, 5
147, 42
148, 42
149, 23
150, 32
151, 8
152, 42
153, 42
154, 1
155, 42
156, 5
157, 42
158, 42
159, 5
160, 42
161, 42
162, 23
163, 1
164, 42
165, 6
166, 37
167, 5
168, 5
169, 42
170, 42
171, 5
172, 39
173, 8
174, 5
175, 42
176, 23
177, 23
178, 5
179, 42
180, 5
181, 8
182, 5
183, 42
184, 23
185, 23
186, 42
187, 8
188, 42
189, 42
190, 1
191, 42
192, 42
193, 42
194, 8
195, 23
196, 5
197, 42
198, 5
199, 42
200, 5
201, 23
202, 42
203, 42
204, 42
205, 23
206, 5
207, 5
208, 42
209, 42
210, 23
211, 5
212, 5
213, 8
214, 23
215, 8
216, 24
217, 42
218, 42
219, 5
220, 42
221, 42
222, 5
223, 5
224, 42
225, 1
226, 42
227, 42
228, 1
229, 42
230, 39
231, 5
232, 42
233, 23
234, 23
235, 42
236, 5
237, 42
238, 42
239, 42
240, 42
241, 42
242, 42
243, 42
244, 5
245, 23
246, 5
247, 42
248, 23
249, 42
250, 5
251, 23
252, 5
253, 5
254, 42
255, 5
256, 23
257, 33
258, 5
259, 1
260, 42
