id, label
0, 43
1, 16
2, 21
3, 2
4, 1
5, 19
6, 28
7, 15
8, 44
9, 13
10, 9
11, 44
12, 25
13, 41
14, 32
15, 16
16, 15
17, 30
18, 49
19, 44
20, 7
21, 32
22, 0
23, 21
24, 25
25, 45
26, 0
27, 44
28, 16
29, 9
30, 6
31, 23
32, 2
33, 36
34, 7
35, 4
36, 41
37, 35
38, 30
39, 39
40, 33
41, 29
42, 44
43, 31
44, 1
45, 38
46, 49
47, 45
48, 14
49, 20
50, 15
51, 23
52, 13
53, 22
54, 3
55, 37
56, 20
57, 9
58, 32
59, 7
60, 22
61, 6
62, 3
63, 45
64, 31
65, 22
66, 12
67, 42
68, 19
69, 11
70, 1
71, 3
72, 6
73, 35
74, 43
75, 17
76, 16
77, 41
78, 6
79, 39
80, 46
81, 40
82, 37
83, 18
84, 28
85, 44
86, 0
87, 13
88, 45
89, 19
90, 4
91, 5
92, 38
93, 17
94, 16
95, 29
96, 3
97, 27
98, 37
99, 47
100, 14
101, 31
102, 47
103, 38
104, 36
105, 37
106, 41
107, 15
108, 46
109, 31
110, 14
111, 15
112, 9
113, 11
114, 31
115, 45
116, 10
117, 44
118, 20
119, 15
120, 28
121, 49
122, 49
123, 14
124, 5
125, 26
126, 34
127, 6
128, 21
129, 2
130, 6
131, 10
132, 36
133, 17
134, 17
135, 48
136, 10
137, 35
138, 37
139, 3
140, 4
141, 18
142, 21
143, 36
144, 2
145, 28
146, 32
147, 13
148, 41
149, 24
150, 27
151, 45
152, 15
153, 7
154, 44
155, 42
156, 37
157, 37
158, 35
159, 1
160, 37
161, 24
162, 43
163, 5
164, 23
165, 17
166, 27
167, 36
168, 21
169, 18
170, 14
171, 19
172, 29
173, 30
174, 49
175, 20
176, 23
177, 41
178, 9
179, 39
180, 9
181, 37
182, 9
183, 45
184, 9
185, 1
186, 9
187, 46
188, 44
189, 10
190, 0
191, 26
192, 46
193, 35
194, 34
195, 30
196, 30
197, 10
198, 0
199, 22
200, 40
201, 11
202, 33
203, 13
204, 15
205, 10
206, 7
207, 30
208, 49
209, 7
210, 33
211, 5
212, 24
213, 42
214, 10
215, 0
216, 10
217, 44
218, 45
219, 35
220, 34
221, 41
222, 30
223, 26
224, 1
225, 13
226, 2
227, 34
228, 14
229, 29
230, 3
231, 39
232, 14
233, 2
234, 28
235, 19
236, 45
237, 13
238, 29
239, 12
240, 37
241, 5
242, 36
243, 3
244, 41
245, 43
246, 30
247, 46
248, 30
249, 10
250, 44
251, 43
252, 1
253, 42
254, 6
255, 21
256, 40
257, 38
258, 7
259, 40
260, 33
261, 44
262, 1
263, 9
264, 20
265, 17
266, 5
267, 28
268, 2
269, 15
270, 27
271, 31
272, 24
273, 47
274, 3
275, 33
276, 31
277, 16
278, 28
279, 1
280, 12
281, 36
282, 33
283, 43
284, 41
285, 33
286, 47
287, 24
288, 24
289, 46
290, 31
291, 22
292, 27
293, 35
294, 32
295, 0
296, 48
297, 8
298, 35
299, 32
300, 22
301, 7
302, 13
303, 12
304, 14
305, 12
306, 18
307, 46
308, 46
309, 46
310, 14
311, 19
312, 21
313, 24
314, 20
315, 6
316, 18
317, 29
318, 21
319, 29
320, 33
321, 18
322, 11
323, 10
324, 37
325, 1
326, 27
327, 24
328, 13
329, 5
330, 28
331, 17
332, 45
333, 23
334, 43
335, 10
336, 13
337, 49
338, 34
339, 2
340, 49
341, 23
342, 25
343, 47
344, 7
345, 29
346, 47
347, 14
348, 3
349, 44
350, 2
351, 19
352, 4
353, 33
354, 37
355, 20
356, 18
